"","Instance","mean","median"
"1","bier127_n1260_bounded-strongly-corr_03.ttp",162643.5,162795
"2","bier127_n1260_bounded-strongly-corr_07.ttp",299008.9,299009
"3","bier127_n1260_uncorr-similar-weights_03.ttp",86335.4,86336
"4","bier127_n1260_uncorr-similar-weights_07.ttp",122221,122221
"5","bier127_n1260_uncorr_03.ttp",93642,93642
"6","bier127_n1260_uncorr_07.ttp",143673,143673
"7","bier127_n378_bounded-strongly-corr_03.ttp",52769.7,52859
"8","bier127_n378_bounded-strongly-corr_07.ttp",100044.4,100047
"9","bier127_n378_uncorr-similar-weights_03.ttp",22247,22247
"10","bier127_n378_uncorr-similar-weights_07.ttp",36445.1,37422
"11","bier127_n378_uncorr_03.ttp",30229,30229
"12","bier127_n378_uncorr_07.ttp",38694,38694
"13","d2103_n21020_bounded-strongly-corr_03.ttp",2638420.6,2638416
"14","d2103_n21020_bounded-strongly-corr_07.ttp",4140980.9,4140981.5
"15","d2103_n21020_uncorr-similar-weights_03.ttp",1193296.1,1193295.5
"16","d2103_n21020_uncorr-similar-weights_07.ttp",2118899.2,2118899.5
"17","d2103_n21020_uncorr_03.ttp",1904973.6,1904974
"18","d2103_n21020_uncorr_07.ttp",2729729.4,2729729
"19","d2103_n6306_bounded-strongly-corr_03.ttp",807029.8,807383.5
"20","d2103_n6306_bounded-strongly-corr_07.ttp",1258328.9,1258143.5
"21","d2103_n6306_uncorr-similar-weights_03.ttp",355940.7,355940.5
"22","d2103_n6306_uncorr-similar-weights_07.ttp",645443.5,645443.5
"23","d2103_n6306_uncorr_03.ttp",567127.3,570184
"24","d2103_n6306_uncorr_07.ttp",814967.2,814967.5
"25","dsj1000_n2997_bounded-strongly-corr_03.ttp",503785.5,504136
"26","dsj1000_n2997_bounded-strongly-corr_07.ttp",606226,607097
"27","dsj1000_n2997_uncorr-similar-weights_03.ttp",55188.4,55675.5
"28","dsj1000_n2997_uncorr-similar-weights_07.ttp",245707.9,245708
"29","dsj1000_n2997_uncorr_03.ttp",250183.7,250402
"30","dsj1000_n2997_uncorr_07.ttp",350708.2,350879
"31","dsj1000_n9990_bounded-strongly-corr_03.ttp",1306260.7,1312199.5
"32","dsj1000_n9990_bounded-strongly-corr_07.ttp",1847493,1857919
"33","dsj1000_n9990_uncorr-similar-weights_03.ttp",629120.1,631869
"34","dsj1000_n9990_uncorr-similar-weights_07.ttp",804695.3,804542.5
"35","dsj1000_n9990_uncorr_03.ttp",767692.2,767692
"36","dsj1000_n9990_uncorr_07.ttp",1167566.3,1169615
"37","eil51_n150_bounded-strongly-corr_03.ttp",15522.4,15523
"38","eil51_n150_bounded-strongly-corr_07.ttp",19775,19775
"39","eil51_n150_uncorr-similar-weights_03.ttp",9970.4,9976
"40","eil51_n150_uncorr-similar-weights_07.ttp",10983,10983
"41","eil51_n150_uncorr_03.ttp",10618,10618
"42","eil51_n150_uncorr_07.ttp",11489,11489
"43","eil51_n500_bounded-strongly-corr_03.ttp",62786,62786
"44","eil51_n500_bounded-strongly-corr_07.ttp",79338,79338
"45","eil51_n500_uncorr-similar-weights_03.ttp",22651.6,22659
"46","eil51_n500_uncorr-similar-weights_07.ttp",35878,35878
"47","eil51_n500_uncorr_03.ttp",41337,41337
"48","eil51_n500_uncorr_07.ttp",43361,43361
"49","gil262_n2610_bounded-strongly-corr_03.ttp",326229.3,326458
"50","gil262_n2610_bounded-strongly-corr_07.ttp",465426.666666667,468241
"51","gil262_n2610_uncorr-similar-weights_03.ttp",133224.7,133225
"52","gil262_n2610_uncorr-similar-weights_07.ttp",215474.9,215719
"53","gil262_n2610_uncorr_03.ttp",204367,204367
"54","gil262_n2610_uncorr_07.ttp",277674.9,277675
"55","gil262_n783_bounded-strongly-corr_03.ttp",105507,105507
"56","gil262_n783_bounded-strongly-corr_07.ttp",136582,136582
"57","gil262_n783_uncorr-similar-weights_03.ttp",41107,41107
"58","gil262_n783_uncorr-similar-weights_07.ttp",59687,59687
"59","gil262_n783_uncorr_03.ttp",60358,60358
"60","gil262_n783_uncorr_07.ttp",76562,76562
"61","kroC100_n297_bounded-strongly-corr_03.ttp",45223,45223
"62","kroC100_n297_bounded-strongly-corr_07.ttp",55395,55395
"63","kroC100_n297_uncorr-similar-weights_03.ttp",21402,21402
"64","kroC100_n297_uncorr-similar-weights_07.ttp",32622,32622
"65","kroC100_n297_uncorr_03.ttp",24401,24401
"66","kroC100_n297_uncorr_07.ttp",41526.5,41723
"67","kroC100_n990_bounded-strongly-corr_03.ttp",144738.2,144758.5
"68","kroC100_n990_bounded-strongly-corr_07.ttp",194693,194693
"69","kroC100_n990_uncorr-similar-weights_03.ttp",61616,61616
"70","kroC100_n990_uncorr-similar-weights_07.ttp",96525,96525
"71","kroC100_n990_uncorr_03.ttp",78705,78705
"72","kroC100_n990_uncorr_07.ttp",124723,124723
"73","nrw1379_n13780_bounded-strongly-corr_03.ttp",1677013.5,1695446
"74","nrw1379_n13780_bounded-strongly-corr_07.ttp",2508056.55555556,2518996
"75","nrw1379_n13780_uncorr-similar-weights_03.ttp",765378.7,771652.5
"76","nrw1379_n13780_uncorr-similar-weights_07.ttp",1197480.2,1206075.5
"77","nrw1379_n13780_uncorr_03.ttp",1129651,1137565.5
"78","nrw1379_n13780_uncorr_07.ttp",1542421.55555556,1542422
"79","nrw1379_n4134_bounded-strongly-corr_03.ttp",485588.9,485589
"80","nrw1379_n4134_bounded-strongly-corr_07.ttp",750689.5,754601
"81","nrw1379_n4134_uncorr-similar-weights_03.ttp",232032.3,233927
"82","nrw1379_n4134_uncorr-similar-weights_07.ttp",356009.6,359914
"83","nrw1379_n4134_uncorr_03.ttp",344777.6,345878
