"","Instance","mean","median"
"1","bier127_n1260_bounded-strongly-corr_03.ttp",163088.8,163177.5
"2","bier127_n1260_bounded-strongly-corr_07.ttp",299008.9,299009
"3","bier127_n1260_uncorr-similar-weights_03.ttp",86333.9,86335
"4","bier127_n1260_uncorr-similar-weights_07.ttp",122221,122221
"5","bier127_n1260_uncorr_03.ttp",93642,93642
"6","bier127_n1260_uncorr_07.ttp",143673,143673
"7","bier127_n378_bounded-strongly-corr_03.ttp",52735.4,52827
"8","bier127_n378_bounded-strongly-corr_07.ttp",100046.2,100047
"9","bier127_n378_uncorr-similar-weights_03.ttp",22247,22247
"10","bier127_n378_uncorr-similar-weights_07.ttp",37422,37422
"11","bier127_n378_uncorr_03.ttp",30229,30229
"12","bier127_n378_uncorr_07.ttp",38694,38694
"13","d2103_n21020_bounded-strongly-corr_03.ttp",2640342.3,2640340
"14","d2103_n21020_bounded-strongly-corr_07.ttp",4141151.3,4141151
"15","d2103_n21020_uncorr-similar-weights_03.ttp",1193295.6,1193295.5
"16","d2103_n21020_uncorr-similar-weights_07.ttp",2118911.9,2118912
"17","d2103_n21020_uncorr_03.ttp",1904977.7,1904977.5
"18","d2103_n21020_uncorr_07.ttp",2729728.3,2729729
"19","d2103_n6306_bounded-strongly-corr_03.ttp",807382.1,807382
"20","d2103_n6306_bounded-strongly-corr_07.ttp",1258134.8,1258139.5
"21","d2103_n6306_uncorr-similar-weights_03.ttp",355940.7,355940.5
"22","d2103_n6306_uncorr-similar-weights_07.ttp",645443.3,645443.5
"23","d2103_n6306_uncorr_03.ttp",562618.1,562532.5
"24","d2103_n6306_uncorr_07.ttp",814967.2,814967
"25","dsj1000_n2997_bounded-strongly-corr_03.ttp",505289.3,505695.5
"26","dsj1000_n2997_bounded-strongly-corr_07.ttp",607871.8,607099.5
"27","dsj1000_n2997_uncorr-similar-weights_03.ttp",55675.5,55676
"28","dsj1000_n2997_uncorr-similar-weights_07.ttp",245707.5,245708
"29","dsj1000_n2997_uncorr_03.ttp",250279.4,250498
"30","dsj1000_n2997_uncorr_07.ttp",350878.8,350879
"31","dsj1000_n9990_bounded-strongly-corr_03.ttp",1312147.5,1312133.5
"32","dsj1000_n9990_bounded-strongly-corr_07.ttp",1857921.8,1857922
"33","dsj1000_n9990_uncorr-similar-weights_03.ttp",631869.9,631870.5
"34","dsj1000_n9990_uncorr-similar-weights_07.ttp",807635.8,804541.5
"35","dsj1000_n9990_uncorr_03.ttp",767690.2,767691
"36","dsj1000_n9990_uncorr_07.ttp",1170207.6,1172307
"37","eil51_n150_bounded-strongly-corr_03.ttp",15336.1,15337
"38","eil51_n150_bounded-strongly-corr_07.ttp",19783,19783
"39","eil51_n150_uncorr-similar-weights_03.ttp",9614,9614
"40","eil51_n150_uncorr-similar-weights_07.ttp",10139,10139
"41","eil51_n150_uncorr_03.ttp",10618,10618
"42","eil51_n150_uncorr_07.ttp",11489,11489
"43","eil51_n500_bounded-strongly-corr_03.ttp",62443.5,62789
"44","eil51_n500_bounded-strongly-corr_07.ttp",79057.4,79507
"45","eil51_n500_uncorr-similar-weights_03.ttp",22340.7,22659
"46","eil51_n500_uncorr-similar-weights_07.ttp",35423,35423
"47","eil51_n500_uncorr_03.ttp",41337,41337
"48","eil51_n500_uncorr_07.ttp",43361,43361
"49","gil262_n2610_bounded-strongly-corr_03.ttp",328231.8,328232
"50","gil262_n2610_bounded-strongly-corr_07.ttp",475558.8,475559
"51","gil262_n2610_uncorr-similar-weights_03.ttp",134621.6,134622
"52","gil262_n2610_uncorr-similar-weights_07.ttp",216463.5,216463.5
"53","gil262_n2610_uncorr_03.ttp",202086.9,202087
"54","gil262_n2610_uncorr_07.ttp",278321,278321
"55","gil262_n783_bounded-strongly-corr_03.ttp",105574,105574
"56","gil262_n783_bounded-strongly-corr_07.ttp",128883,128883
"57","gil262_n783_uncorr-similar-weights_03.ttp",41270,41270
"58","gil262_n783_uncorr-similar-weights_07.ttp",59592,59592
"59","gil262_n783_uncorr_03.ttp",60596,60596
"60","gil262_n783_uncorr_07.ttp",75039,75039
"61","kroC100_n297_bounded-strongly-corr_03.ttp",44567.5,45223
"62","kroC100_n297_bounded-strongly-corr_07.ttp",55394.3,55395
"63","kroC100_n297_uncorr-similar-weights_03.ttp",21155.1,21402
"64","kroC100_n297_uncorr-similar-weights_07.ttp",32386.3,32622
"65","kroC100_n297_uncorr_03.ttp",24407,24401
"66","kroC100_n297_uncorr_07.ttp",41133.5,41723
"67","kroC100_n990_bounded-strongly-corr_03.ttp",141243.6,144749.5
"68","kroC100_n990_bounded-strongly-corr_07.ttp",194692.9,194693
"69","kroC100_n990_uncorr-similar-weights_03.ttp",61616,61616
"70","kroC100_n990_uncorr-similar-weights_07.ttp",96525,96525
"71","kroC100_n990_uncorr_03.ttp",78705,78705
"72","kroC100_n990_uncorr_07.ttp",124526.3,124723
"73","nrw1379_n13780_bounded-strongly-corr_03.ttp",1695449.1,1695448
"74","nrw1379_n13780_bounded-strongly-corr_07.ttp",2519046.6,2519050.5
"75","nrw1379_n13780_uncorr-similar-weights_03.ttp",771656.7,771655.5
"76","nrw1379_n13780_uncorr-similar-weights_07.ttp",1206765,1206841
"77","nrw1379_n13780_uncorr_03.ttp",1138099,1138430
"78","nrw1379_n13780_uncorr_07.ttp",1542424.3,1542425
"79","nrw1379_n4134_bounded-strongly-corr_03.ttp",494322.9,494354.5
"80","nrw1379_n4134_bounded-strongly-corr_07.ttp",754988.3,755083.5
"81","nrw1379_n4134_uncorr-similar-weights_03.ttp",234493.2,234493.5
"82","nrw1379_n4134_uncorr-similar-weights_07.ttp",360069.8,360070
"83","nrw1379_n4134_uncorr_03.ttp",346226.8,346227
"84","nrw1379_n4134_uncorr_07.ttp",465118,465118
"85","pcb442_n1323_bounded-strongly-corr_03.ttp",212138.8,212321
"86","pcb442_n1323_bounded-strongly-corr_07.ttp",321617.3,324219
"87","pcb442_n1323_uncorr-similar-weights_03.ttp",95458,96507
"88","pcb442_n1323_uncorr-similar-weights_07.ttp",165929,165929
"89","pcb442_n1323_uncorr_03.ttp",147150,147150
"90","pcb442_n1323_uncorr_07.ttp",194277.4,194283
"91","pcb442_n4410_bounded-strongly-corr_03.ttp",651679.1,651684.5
"92","pcb442_n4410_bounded-strongly-corr_07.ttp",1061237.8,1061238.5
"93","pcb442_n4410_uncorr-similar-weights_03.ttp",312676.1,312676
"94","pcb442_n4410_uncorr-similar-weights_07.ttp",531444.3,531444
"95","pcb442_n4410_uncorr_03.ttp",464180.2,464180
"96","pcb442_n4410_uncorr_07.ttp",632743.2,632743
"97","pla85900_n257697_bounded-strongly-corr_03.ttp",30384990.7,30456319
"98","pla85900_n257697_bounded-strongly-corr_07.ttp",46960197.4,46991843
"99","pla85900_n257697_uncorr-similar-weights_03.ttp",13481205,13481205
"100","pla85900_n257697_uncorr-similar-weights_07.ttp",23883521,23883521
"101","pla85900_n257697_uncorr_03.ttp",23132865.5,23135221
"102","pla85900_n257697_uncorr_07.ttp",31168868,31168868
"103","pla85900_n858990_bounded-strongly-corr_03.ttp",95977842.2,95943099
"104","pla85900_n858990_bounded-strongly-corr_07.ttp",151168672.5,151226044.5
"105","pla85900_n858990_uncorr-similar-weights_03.ttp",48665201,48665201
"106","pla85900_n858990_uncorr-similar-weights_07.ttp",82398242,82398242
"107","pla85900_n858990_uncorr_03.ttp",75268816,75268816
"108","pla85900_n858990_uncorr_07.ttp",105335024,105335024
"109","rl5934_n17799_bounded-strongly-corr_03.ttp",2543698.6,2543698
"110","rl5934_n17799_bounded-strongly-corr_07.ttp",4100238,4100238
"111","rl5934_n17799_uncorr-similar-weights_03.ttp",1241737.2,1241548.5
"112","rl5934_n17799_uncorr-similar-weights_07.ttp",1994653.4,2003751.5
"113","rl5934_n17799_uncorr_03.ttp",1760567.1,1760475
"114","rl5934_n17799_uncorr_07.ttp",2438551.8,2438022.5
"115","rl5934_n59330_bounded-strongly-corr_03.ttp",8541488.4,8544450.5
"116","rl5934_n59330_bounded-strongly-corr_07.ttp",13211625.8,13211626
"117","rl5934_n59330_uncorr-similar-weights_03.ttp",3992925.9,4012678.5
"118","rl5934_n59330_uncorr-similar-weights_07.ttp",6640520.9,6634198
"119","rl5934_n59330_uncorr_03.ttp",5880401.3,5880621
"120","rl5934_n59330_uncorr_07.ttp",8166655,8165501
"121","u159_n1580_bounded-strongly-corr_03.ttp",191418,191418.5
"122","u159_n1580_bounded-strongly-corr_07.ttp",310147.3,310148
"123","u159_n1580_uncorr-similar-weights_03.ttp",92969,92969
