Instance;mean my-heuristic;median my-heuristic;mean cs2sar;median cs2sar;p-value less;p-value greater;holm less;holm greater
bier127_n1260_bounded-strongly-corr_03.ttp;163088.8;163177.5;162643.5;162795;0.917253025612159;0.095157938037195;1;1
bier127_n1260_bounded-strongly-corr_07.ttp;299008.9;299009;299008.9;299009;0.528957011060564;0.528957011060564;1;1
bier127_n1260_uncorr-similar-weights_03.ttp;86333.9;86335;86335.4;86336;0.119848360184838;0.895102291737857;1;1
bier127_n1260_uncorr-similar-weights_07.ttp;122221;122221;122221;122221;1;1;1;1
bier127_n1260_uncorr_03.ttp;93642;93642;93642;93642;1;1;1;1
bier127_n1260_uncorr_07.ttp;143673;143673;143673;143673;1;1;1;1
bier127_n378_bounded-strongly-corr_03.ttp;52735.4;52827;52769.7;52859;0.602031869059733;0.426714152720345;1;1
bier127_n378_bounded-strongly-corr_07.ttp;100046.2;100047;100044.4;100047;0.868431161241042;0.152503472965082;1;1
bier127_n378_uncorr-similar-weights_03.ttp;22247;22247;22247;22247;1;1;1;1
bier127_n378_uncorr-similar-weights_07.ttp;37422;37422;36445.1;37422;0.864333939053617;0.18406012534676;1;1
bier127_n378_uncorr_03.ttp;30229;30229;30229;30229;1;1;1;1
bier127_n378_uncorr_07.ttp;38694;38694;38694;38694;1;1;1;1
d2103_n21020_bounded-strongly-corr_03.ttp;2640342.3;2640340;2638420.6;2638416;0.999933747043259;8.98112524953542e-05;1;0.0100588602794797
d2103_n21020_bounded-strongly-corr_07.ttp;4141151.3;4141151;4140980.9;4140981.5;0.999933747043259;8.98112524953542e-05;1;0.0100588602794797
d2103_n21020_uncorr-similar-weights_03.ttp;1193295.6;1193295.5;1193296.1;1193295.5;0.51512625298095;0.51512625298095;1;1
d2103_n21020_uncorr-similar-weights_07.ttp;2118911.9;2118912;2118899.2;2118899.5;0.999934517577978;8.8805330344482e-05;1;0.0100350023289265
d2103_n21020_uncorr_03.ttp;1904977.7;1904977.5;1904973.6;1904974;0.994120777856534;0.0072834916649469;1;0.706498691499849
d2103_n21020_uncorr_07.ttp;2729728.3;2729729;2729729.4;2729729;0.29639069829776;0.729470109237609;1;1
