Instance;mean my-heuristic;median my-heuristic;mean cs2sar;median cs2sar;p-value less;p-value greater
bier127_n1260_bounded-strongly-corr_03.ttp;163088,80;163177,50;162643,50;162795,00;0,9173;0,0952
bier127_n1260_bounded-strongly-corr_07.ttp;299008,90;299009,00;299008,90;299009,00;0,5290;0,5290
bier127_n1260_uncorr-similar-weights_03.ttp;86333,90;86335,00;86335,40;86336,00;0,1198;0,8951
bier127_n1260_uncorr-similar-weights_07.ttp;122221,00;122221,00;122221,00;122221,00;1,0000;1,0000
bier127_n1260_uncorr_03.ttp;93642,00;93642,00;93642,00;93642,00;1,0000;1,0000
bier127_n1260_uncorr_07.ttp;143673,00;143673,00;143673,00;143673,00;1,0000;1,0000
bier127_n378_bounded-strongly-corr_03.ttp;52735,40;52827,00;52769,70;52859,00;0,6020;0,4267
bier127_n378_bounded-strongly-corr_07.ttp;100046,20;100047,00;100044,40;100047,00;0,8684;0,1525
bier127_n378_uncorr-similar-weights_03.ttp;22247,00;22247,00;22247,00;22247,00;1,0000;1,0000
bier127_n378_uncorr-similar-weights_07.ttp;37422,00;37422,00;36445,10;37422,00;0,8643;0,1841
bier127_n378_uncorr_03.ttp;30229,00;30229,00;30229,00;30229,00;1,0000;1,0000
bier127_n378_uncorr_07.ttp;38694,00;38694,00;38694,00;38694,00;1,0000;1,0000
d2103_n21020_bounded-strongly-corr_03.ttp;2640342,30;2640340,00;2638420,60;2638416,00;0,9999;0,0001
d2103_n21020_bounded-strongly-corr_07.ttp;4141151,30;4141151,00;4140980,90;4140981,50;0,9999;0,0001
d2103_n21020_uncorr-similar-weights_03.ttp;1193295,60;1193295,50;1193296,10;1193295,50;0,5151;0,5151
d2103_n21020_uncorr-similar-weights_07.ttp;2118911,90;2118912,00;2118899,20;2118899,50;0,9999;0,0001
d2103_n21020_uncorr_03.ttp;1904977,70;1904977,50;1904973,60;1904974,00;0,9941;0,0073
d2103_n21020_uncorr_07.ttp;2729728,30;2729729,00;2729729,40;2729729,00;0,2964;0,7295
d2103_n6306_bounded-strongly-corr_03.ttp;807382,10;807382,00;807029,80;807383,50;0,4548;0,5750
d2103_n6306_bounded-strongly-corr_07.ttp;1258134,80;1258139,50;1258328,90;1258143,50;0,0862;0,9251
d2103_n6306_uncorr-similar-weights_03.ttp;355940,70;355940,50;355940,70;355940,50;0,5307;0,5000
d2103_n6306_uncorr-similar-weights_07.ttp;645443,30;645443,50;645443,50;645443,50;0,3922;0,6375
d2103_n6306_uncorr_03.ttp;562618,10;562532,50;567127,30;570184,00;0,0738;0,9363
d2103_n6306_uncorr_07.ttp;814967,20;814967,00;814967,20;814967,50;0,4693;0,5613
dsj1000_n2997_bounded-strongly-corr_03.ttp;505289,30;505695,50;503785,50;504136,00;0,9784;0,0262
dsj1000_n2997_bounded-strongly-corr_07.ttp;607871,80;607099,50;606226,00;607097,00;0,9410;0,0685
dsj1000_n2997_uncorr-similar-weights_03.ttp;55675,50;55676,00;55188,40;55675,50;0,7984;0,2260
dsj1000_n2997_uncorr-similar-weights_07.ttp;245707,50;245708,00;245707,90;245708,00;0,0668;0,9452
dsj1000_n2997_uncorr_03.ttp;250279,40;250498,00;250183,70;250402,00;0,9996;0,0006
dsj1000_n2997_uncorr_07.ttp;350878,80;350879,00;350708,20;350879,00;0,5316;0,5000
dsj1000_n9990_bounded-strongly-corr_03.ttp;1312147,50;1312133,50;1306260,70;1312199,50;0,3153;0,7106
dsj1000_n9990_bounded-strongly-corr_07.ttp;1857921,80;1857922,00;1847493,00;1857919,00;0,9933;0,0083
dsj1000_n9990_uncorr-similar-weights_03.ttp;631869,90;631870,50;629120,10;631869,00;0,6767;0,3512
dsj1000_n9990_uncorr-similar-weights_07.ttp;807635,80;804541,50;804695,30;804542,50;0,4397;0,5900
dsj1000_n9990_uncorr_03.ttp;767690,20;767691,00;767692,20;767692,00;0,0046;0,9964
dsj1000_n9990_uncorr_07.ttp;1170207,60;1172307,00;1167566,30;1169615,00;0,9873;0,0154
eil51_n150_bounded-strongly-corr_03.ttp;15336,10;15337,00;15522,40;15523,00;0,0000;1,0000
eil51_n150_bounded-strongly-corr_07.ttp;19783,00;19783,00;19775,00;19775,00;1,0000;0,0000
eil51_n150_uncorr-similar-weights_03.ttp;9614,00;9614,00;9970,40;9976,00;0,0000;1,0000
eil51_n150_uncorr-similar-weights_07.ttp;10139,00;10139,00;10983,00;10983,00;0,0000;1,0000
eil51_n150_uncorr_03.ttp;10618,00;10618,00;10618,00;10618,00;1,0000;1,0000
eil51_n150_uncorr_07.ttp;11489,00;11489,00;11489,00;11489,00;1,0000;1,0000
eil51_n500_bounded-strongly-corr_03.ttp;62443,50;62789,00;62786,00;62786,00;0,6765;0,3539
eil51_n500_bounded-strongly-corr_07.ttp;79057,40;79507,00;79338,00;79338,00;0,8065;0,2169
eil51_n500_uncorr-similar-weights_03.ttp;22340,70;22659,00;22651,60;22659,00;0,1164;0,9035
eil51_n500_uncorr-similar-weights_07.ttp;35423,00;35423,00;35878,00;35878,00;0,5164;0,5164
eil51_n500_uncorr_03.ttp;41337,00;41337,00;41337,00;41337,00;1,0000;1,0000
eil51_n500_uncorr_07.ttp;43361,00;43361,00;43361,00;43361,00;1,0000;1,0000
gil262_n2610_bounded-strongly-corr_03.ttp;328231,80;328232,00;326229,30;326458,00;0,9999;0,0001
gil262_n2610_bounded-strongly-corr_07.ttp;475558,80;475559,00;465426,67;468241,00;0,9999;0,0001
gil262_n2610_uncorr-similar-weights_03.ttp;134621,60;134622,00;133224,70;133225,00;1,0000;0,0000
gil262_n2610_uncorr-similar-weights_07.ttp;216463,50;216463,50;215474,90;215719,00;1,0000;0,0001
gil262_n2610_uncorr_03.ttp;202086,90;202087,00;204367,00;204367,00;0,0000;1,0000
gil262_n2610_uncorr_07.ttp;278321,00;278321,00;277674,90;277675,00;1,0000;0,0000
gil262_n783_bounded-strongly-corr_03.ttp;105574,00;105574,00;105507,00;105507,00;1,0000;0,0000
gil262_n783_bounded-strongly-corr_07.ttp;128883,00;128883,00;136582,00;136582,00;0,0000;1,0000
gil262_n783_uncorr-similar-weights_03.ttp;41270,00;41270,00;41107,00;41107,00;1,0000;0,0000
gil262_n783_uncorr-similar-weights_07.ttp;59592,00;59592,00;59687,00;59687,00;0,0000;1,0000
gil262_n783_uncorr_03.ttp;60596,00;60596,00;60358,00;60358,00;1,0000;0,0000
gil262_n783_uncorr_07.ttp;75039,00;75039,00;76562,00;76562,00;0,0000;1,0000
kroC100_n297_bounded-strongly-corr_03.ttp;44567,50;45223,00;45223,00;45223,00;0,0174;0,9867
kroC100_n297_bounded-strongly-corr_07.ttp;55394,30;55395,00;55395,00;55395,00;0,1841;0,8643
kroC100_n297_uncorr-similar-weights_03.ttp;21155,10;21402,00;21402,00;21402,00;0,0384;0,9708
kroC100_n297_uncorr-similar-weights_07.ttp;32386,30;32622,00;32622,00;32622,00;0,1841;0,8643
kroC100_n297_uncorr_03.ttp;24407,00;24401,00;24401,00;24401,00;0,8643;0,1841
kroC100_n297_uncorr_07.ttp;41133,50;41723,00;41526,50;41723,00;0,1503;0,8737
kroC100_n990_bounded-strongly-corr_03.ttp;141243,60;144749,50;144738,20;144758,50;0,2599;0,7640
kroC100_n990_bounded-strongly-corr_07.ttp;194692,90;194693,00;194693,00;194693,00;0,1841;0,8643
kroC100_n990_uncorr-similar-weights_03.ttp;61616,00;61616,00;61616,00;61616,00;1,0000;1,0000
kroC100_n990_uncorr-similar-weights_07.ttp;96525,00;96525,00;96525,00;96525,00;1,0000;1,0000
kroC100_n990_uncorr_03.ttp;78705,00;78705,00;78705,00;78705,00;1,0000;1,0000
kroC100_n990_uncorr_07.ttp;124526,30;124723,00;124723,00;124723,00;0,1841;0,8643
nrw1379_n13780_bounded-strongly-corr_03.ttp;1695449,10;1695448,00;1677013,50;1695446,00;0,6750;0,3527
nrw1379_n13780_bounded-strongly-corr_07.ttp;2519046,60;2519050,50;2508056,56;2518996,00;0,9997;0,0005
nrw1379_n13780_uncorr-similar-weights_03.ttp;771656,70;771655,50;765378,70;771652,50;0,9778;0,0265
nrw1379_n13780_uncorr-similar-weights_07.ttp;1206765,00;1206841,00;1197480,20;1206075,50;0,9999;0,0002
nrw1379_n13780_uncorr_03.ttp;1138099,00;1138430,00;1129651,00;1137565,50;0,9998;0,0003
nrw1379_n13780_uncorr_07.ttp;1542424,30;1542425,00;1542421,56;1542422,00;0,9417;0,0685
nrw1379_n4134_bounded-strongly-corr_03.ttp;494322,90;494354,50;485588,90;485589,00;0,9999;0,0001
nrw1379_n4134_bounded-strongly-corr_07.ttp;754988,30;755083,50;750689,50;754601,00;0,9999;0,0001
